rol,tribunal,tipo,año,filename,size_kb
"R-117-2016","2TA","definitiva","2016","R-117-2016_14-12-2016_Sentencia.pdf","710.4"
"R-118-2016","2TA","definitiva","2016","R-118-2016-31-08-2017-Sentencia.pdf","1133.3"
"R-122-2016","2TA","definitiva","2016","R-122-2016_30-03-2017_Sentencia.pdf","757.4"
"R-123-2016","2TA","definitiva","2016","R-123-2016-18-05-2017-Sentencia.pdf","1664.2"
"R-124-2016","2TA","definitiva","2016","R-124-2016-15-05-2018-Sentencia.pdf","195.3"
"R-125-2016","2TA","definitiva","2016","R-125-2016-11-02-2019-Sentencia.pdf","6538.9"
"R-126-2016","2TA","definitiva","2016","R-126-2016-31-08-2017-Sentencia.pdf","3278.8"
"R-128-2016","2TA","definitiva","2016","R-128-2016-31-03-2017-Sentencia.pdf","1707.6"
"R-129-2016","2TA","definitiva","2016","R-129-2016-05-01-2018-Sentencia.pdf","2503.5"
"R-131-2016","2TA","definitiva","2016","R-131-2016-28-04-2017-Sentencia.pdf","1609.0"
"R-132-2016","2TA","definitiva","2016","R-132-2016-20-10-2017-Sentencia.pdf","1732.9"
"R-135-2016","2TA","definitiva","2016","R-135-2016-28-07-2017-Sentencia.pdf","5971.7"
"R-138-2016","2TA","definitiva","2016","R-138-2016-29-03-2018-Sentencia.pdf","1322.8"
"R-139-2016","2TA","definitiva","2016","CS_23085-2018_2TA_R-139-2016_Sentencia.pdf","145.7"
"R-140-2016","2TA","definitiva","2016","R-140-2016-05-06-2018-Sentencia.pdf","3916.1"
"R-139-2017","2TA","definitiva","2017","R-139-2017-31-07-2018-Sentencia.pdf","5583.2"
"R-141-2017","2TA","definitiva","2017","R-141-2017-08-02-2019-Sentencia.pdf","1860.8"
"R-143-2017","2TA","definitiva","2017","R-143-2017-10-12-2018-Sentencia-web_pc_7mb.pdf","6835.4"
"R-146-2017","2TA","definitiva","2017","R-146-2017-25-09-2018-Sentencia.pdf","4288.9"
"R-147-2017","2TA","definitiva","2017","R-147-2017-30-01-2019-Sentencia.pdf","2496.4"
"R-148-2017","2TA","definitiva","2017","R-148-2017-26-04-2018-Sentencia.pdf","5031.8"
"R-149-2017","2TA","definitiva","2017","R-149-2017-01-06-2018-Sentencia.pdf","1243.2"
"R-150-2017","2TA","definitiva","2017","R-150-2017-28-02-2018-Sentencia.pdf","1269.0"
"R-153-2017","2TA","definitiva","2017","R-153-2017-14-09-2018-Sentencia.pdf","25851.3"
"R-154-2017","2TA","definitiva","2017","R-154-2017-29-03-2018-Sentencia.pdf","3878.6"
"R-155-2017","2TA","definitiva","2017","R-155-2017-27-04-2018-Sentencia.pdf","1417.4"
"R-157-2017","2TA","definitiva","2017","R-157-2017-17-08-2018-Sentencia.pdf","19567.4"
"R-160-2017","2TA","definitiva","2017","R-160-2017-21-08-2018-Sentencia.pdf","18432.2"
"R-161-2017","2TA","definitiva","2017","R-161-2017-18-04-2018-Sentencia.pdf","1022.2"
"R-163-2017","2TA","definitiva","2017","R-163-2017-29-06-2018-Sentencia.pdf","1684.2"
"R-166-2017","2TA","definitiva","2017","R-166-2017-04-06-2019-Sentencia.pdf","3421.8"
"R-169-2017","2TA","definitiva","2017","R-169-2017-14-06-2019-Sentencia.pdf","4227.3"
"R-15549-2017","2TA","casacion","2017","Sentencia-casación-CS-Rol-15549-2017-derrame-de-petróleo-Quintero.pdf","227.1"
"R-18341-2017","2TA","definitiva","2017","Sentencia-CS-Rol-18341-2017-Saeta.pdf","213.1"
"R-37273-2017","2TA","casacion","2017","Sentencia-casación-Rol-37273-2017-Nogales.pdf","190.5"
"R-171-2018","2TA","definitiva","2018","Sentencia_Corte-Suprema_Rol-44801-2020_2TA_R-171-2018.pdf","220.1"
"R-173-2018","2TA","definitiva","2018","R-173-2018-31-01-2019-Sentencia.pdf","659.0"
"R-177-2018","2TA","definitiva","2018","R-177-2018-22-07-2019-Sentencia.pdf","8075.0"
"R-179-2018","2TA","definitiva","2018","CS_29062-2019_2TA_R-179-2018_Sentencia.pdf","182.4"
"R-181-2018","2TA","definitiva","2018","Sentencia_Corte-Suprema_Rol-104693-2020_2TA_R-181-2018.pdf","240.5"
"R-183-2018","2TA","definitiva","2018","R-183-2018_03-11-2021_Sentencia.pdf","27034.9"
"R-189-2018","2TA","definitiva","2018","R-189-2018-13-09-2019-Sentencia.pdf","857.7"
"R-190-2018","2TA","definitiva","2018","CS_20994-2020_2TA_R-190-2018_Sentencia.pdf","194.5"
"R-191-2018","2TA","definitiva","2018","R-191-2018-26-07-2019-Sentencia-pdf.pdf","5894.7"
"R-193-2018","2TA","definitiva","2018","CS_27003-2019_2TA_R-193-2018_Sentencia.pdf","125.0"
"R-195-2018","2TA","definitiva","2018","Sentencia_Corte-Suprema_Rol-131181-2020_2TA_R-195-2018.pdf","185.8"
"R-197-2018","2TA","definitiva","2018","R-197-2018_27-11-2019_Sentencia.pdf","1796.0"
"R-198-2018","2TA","definitiva","2018","R-198-2018-15-03-2019-Sentencia_web.pdf","6212.4"
"R-199-2018","2TA","definitiva","2018","Sentencia_Corte-Suprema_117379-2020_2TA-R-199-2018.pdf","198.2"
"R-200-2018","2TA","definitiva","2018","Sentencia_Corte-Suprema_6960-2021-R-200-2018-STA.pdf","188.7"
"R-189-2019","2TA","definitiva","2019","CS-29521-2019_2TA_R-189-2019_Sentencia.pdf","171.5"
"R-196-2019","2TA","definitiva","2019","Sentencia_Corte-Suprema_79353-2020_2TA-R-196-2019.pdf","212.2"
"R-206-2019","2TA","definitiva","2019","Sentencia_Corte-Suprema_99487-2020_2TA-R-206-2019.pdf","479.4"
"R-208-2019","2TA","definitiva","2019","Sentencia_R_208-2019-14.04.2021.pdf","19872.3"
"R-210-2019","2TA","definitiva","2019","Sentencia_R-210-2019_-_14.10.2020.pdf","912.6"
"R-215-2019","2TA","definitiva","2019","2022.07.06_Sentencia_R-215-2019.pdf","4245.6"
"R-219-2019","2TA","definitiva","2019","Sentencia_R_219-2019-05-04-2021.pdf","22058.5"
"R-220-2019","2TA","definitiva","2019","R-220-2019_30-03-2021_Sentencia.pdf","9173.5"
"R-221-2019","2TA","definitiva","2019","Sentencia_R-221-2019.pdf","20671.5"
"R-224-2019","2TA","definitiva","2019","R-224-2019_17-06-2021_Sentencia.pdf","10408.5"
"R-1583-2019","2TA","definitiva","2019","Sentencia_Corte_Suprema_Rol_1583-2019_2TA_D-26-2016.pdf","179.6"
"R-27726-2019","2TA","definitiva","2019","Sentencia_Corte_Suprema_Rol_27726-2019_2TA_D-27-2016.pdf","180.2"
"R-226-2020","2TA","definitiva","2020","Sentencia_R_226-2020-09.04.2021.pdf","13009.9"
"R-230-2020","2TA","definitiva","2020","R-230-2020_10-03-2022_Sentencia.pdf","3235.4"
"R-231-2020","2TA","definitiva","2020","Sentencia_R_231-2020-25.11.2021.pdf","2313.0"
"R-233-2020","2TA","definitiva","2020","R-233-2020_18-06-2021_Sentencia.pdf","9406.7"
"R-234-2020","2TA","definitiva","2020","R-234-2020_22-06-2021_Sentencia.pdf","15973.1"
"R-236-2020","2TA","definitiva","2020","R-236-2020_01-10-2021_Sentencia.pdf","1528.6"
"R-237-2020","2TA","definitiva","2020","Sentencia_R_237-2020-13.05.2021.pdf","17549.4"
"R-238-2020","2TA","definitiva","2020","R-238-2020_16-06-2021_Sentencia.pdf","14158.0"
"R-239-2020","2TA","definitiva","2020","R-239-2020_14-07-2021_Sentencia.pdf","20920.0"
"R-243-2020","2TA","definitiva","2020","R-243-2020_14-10-2021_Sentencia.pdf","1166.0"
"R-244-2020","2TA","definitiva","2020","R-244-2020_25-05-2022_Sentencia.pdf","30377.6"
"R-251-2020","2TA","definitiva","2020","R-251-2020_09-08-2021_Sentencia.pdf","4930.8"
"R-252-2020","2TA","definitiva","2020","R-252-2020_19-11-2021_Sentencia.pdf","7946.9"
