filename,tribunal,tipo,rol,año,size_kb
"D-24-2016-27-04-2017-Sentencia.pdf","2TA","definitiva","","","3636.8"
"D-15-2015-06-01-2017-Sentencia.pdf","2TA","definitiva","","","1966.8"
"D-14-2014-24-08-2016-Sentencia.pdf","2TA","definitiva","","","2823.0"
"D-03-2013-10-04-2015-Sentencia-foliada.pdf","2TA","definitiva","","","4069.0"
"Sentencia-Casacion-D-3-2014_Copaquilla.doc","2TA","casacion","","","24.5"
"D-02-2013-20-03-2015-Sentencia.pdf","2TA","definitiva","","","1407.8"
"D-09-2014-26-01-2015-Sentencia.pdf","2TA","definitiva","","","771.0"
"Sentencia-Casacion_D-9-2014_Catemu.pdf","2TA","casacion","","","26.4"
"D-06-2013-29-11-2014-Sentencia-Foliada.pdf","2TA","definitiva","","","1895.3"
"C-04-2015-08-09-2015-Sentencia.pdf","2TA","definitiva","","","338.3"
"C-02-2013-29-07-2013-Sentencia.pdf","2TA","definitiva","","","89.1"
"C-02-2013-11-11-2013-Sentencia-1.pdf","2TA","definitiva","","","70.7"
"C-01-2013-29-07-2013-Sentencia.pdf","2TA","definitiva","","","75.3"
"2025.04.11_Sentencia_S-86-2025.pdf","2TA","definitiva","","","235.2"
"2025.03.25_Sentencia_S-85-2025.pdf","2TA","definitiva","","","232.1"
"2025.02.20_Sentencia_S-84-2025.pdf","2TA","definitiva","","","240.0"
"2023.12.15_Sentencia_S-81-2023.pdf","2TA","definitiva","","","652.2"
"2023.11.09_Sentencia_S-80-2023.pdf","2TA","definitiva","","","147.1"
"Sentencia-Casación-28207_2018.pdf","2TA","casacion","","","156.3"
"Sentencia_casación_9197-2018_TA-107-2016_CardonesPolpaico.pdf","2TA","casacion","","","160.4"
"Sentencia-acoge-casación-ATI.-Rol-CS-88948-2016.pdf","2TA","casacion","","","288.5"
"Sentencia.pdf","2TA","definitiva","","","82.5"
"R-02-2013-01-10-2013-Sentencia.pdf","2TA","definitiva","R-02-2013","2013","206.2"
"R-04-2013-09-08-2013-Sentencia.pdf","2TA","definitiva","R-04-2013","2013","578.5"
"R-05-2013-16-08-2013-Sentencia.pdf","2TA","definitiva","R-05-2013","2013","290.2"
"R-05-2013-26-06-2014-Sentencia-de-Reemplazo-Corte-Suprema.pdf","2TA","reemplazo","R-05-2013","2013","268.7"
"R-06-2013-03-03-2014-Sentencia.pdf","2TA","definitiva","R-06-2013","2013","2727.6"
"R-10-2013-19-06-2014-Sentencia.pdf","2TA","definitiva","R-10-2013","2013","567.4"
"R-10-2013_Sentencia-CS-Casacion.doc","2TA","casacion","R-10-2013","2013","72.5"
"R-11-2013-26-06-2014-Sentencia.pdf","2TA","definitiva","R-11-2013","2013","690.6"
"Sentencia_Suprema-R-11-2013.doc","2TA","definitiva","R-11-2013","2013","72.5"
"R-13-2013-17-01-2014-Sentencia.pdf","2TA","definitiva","R-13-2013","2013","537.4"
"R-14-2013-23-04-2014-Sentencia.pdf","2TA","definitiva","R-14-2013","2013","656.3"
"R-15-2013-22-05-2014-Sentencia.pdf","2TA","definitiva","R-15-2013","2013","741.1"
"R-16-2013-18-07-2014-Sentencia.pdf","2TA","definitiva","R-16-2013","2013","149.3"
"Sentencia_Suprema-R-16-2013.doc","2TA","definitiva","R-16-2013","2013","67.5"
"R-20-2014-19-06-2014-Sentencia.pdf","2TA","definitiva","R-20-2014","2014","138.6"
"R-21-2014-28-10-2014-Sentencia.pdf","2TA","definitiva","R-21-2014","2014","150.4"
"R-22-2014-16-12-2014-Sentencia-Definitiva.pdf","2TA","definitiva","R-22-2014","2014","283.4"
"Sentencia_Suprema-R-22-2014.doc","2TA","definitiva","R-22-2014","2014","143.0"
"R-23-2014-12-09-2014-Sentencia.pdf","2TA","definitiva","R-23-2014","2014","873.1"
"Sentencia_Suprema-R-23-2014.doc","2TA","definitiva","R-23-2014","2014","69.5"
"R-24-2014-21-11-2014-Sentencia-foliada.pdf","2TA","definitiva","R-24-2014","2014","834.1"
"Sentencia_Suprema-R-24-2014.doc","2TA","definitiva","R-24-2014","2014","127.5"
"R-26-2014-17-12-2014-Sentencia.pdf","2TA","definitiva","R-26-2014","2014","111.4"
"R-32-2014-25-05-2015-Sentencia-Foleada.pdf","2TA","definitiva","R-32-2014","2014","182.7"
"R-33-2014_Sentencia.pdf","2TA","definitiva","R-33-2014","2014","1388.5"
"R-34-2014-02-07-2015-Sentencia.pdf","2TA","definitiva","R-34-2014","2014","132.1"
"R-35-2014-18-02-2016-Sentencia.pdf","2TA","definitiva","R-35-2014","2014","3127.1"
"R-35-2014_sentencia-CS.pdf","2TA","definitiva","R-35-2014","2014","603.5"
"R-35-2014_sentencia_reemplazo_CS.pdf","2TA","reemplazo","R-35-2014","2014","511.4"
"R-38-2014-07-05-2015-Sentencia.pdf","2TA","definitiva","R-38-2014","2014","1732.3"
"R-39-2014-15-10-15-Sentencia.pdf","2TA","definitiva","R-39-2014","2014","84.9"
"Sentencia-Casacion-R-39-2014.doc","2TA","casacion","R-39-2014","2014","58.5"
"Sentencia-R-40-2014-Comunicaciones.pdf","2TA","definitiva","R-40-2014","2014","10202.1"
"R-44-2014-04-12-2015-Sentencia.pdf","2TA","definitiva","R-44-2014","2014","1804.3"
"R-48-2014-29-01-2016-Sentencia.pdf","2TA","definitiva","R-48-2014","2014","2065.2"
"Sentencia-Casacion-R-48-2014.doc","2TA","casacion","R-48-2014","2014","23.0"
"R-51-2014-08-06-2016-Sentencia.pdf","2TA","definitiva","R-51-2014","2014","2105.1"
"R-53-2014-26-08-2015-Sentencia.pdf","2TA","definitiva","R-53-2014","2014","975.4"
"Sentencia-Corte-Suprema-R-53-2014.pdf","2TA","definitiva","R-53-2014","2014","466.8"
