filename,tribunal,rol,year,type,extension,size_kb
"2024.06.07_Sentencia_R-424-2023.pdf","2TA","R-424-2023","2023","Sentencia",".pdf","1376.0"
"2024.05.31_Sentencia_R-432-2023.pdf","2TA","R-432-2023","2023","Sentencia",".pdf","1404.6"
"2024.05.30_Sentencia_R-397-2023.pdf","2TA","R-397-2023","2023","Sentencia",".pdf","868.5"
"2024.05.27_Sentencia_R-418-2023.pdf","2TA","R-418-2023","2023","Sentencia",".pdf","754.1"
"2024.05.27_Sentencia_R-407-2023.pdf","2TA","R-407-2023","2023","Sentencia",".pdf","1350.2"
"2024.04.30_Sentencia_R-379-2022.pdf","2TA","R-379-2022","2022","Sentencia",".pdf","1097.5"
"2024.04.26_Sentencia_R-400-2023.pdf","2TA","R-400-2023","2023","Sentencia",".pdf","867.6"
"2024.04.26_Sentencia_R-399-2023.pdf","2TA","R-399-2023","2023","Sentencia",".pdf","1184.3"
"2024.04.24_Sentencia_R-383-2022.pdf","2TA","R-383-2022","2022","Sentencia",".pdf","994.7"
"2024.04.24_Sentencia_R-374-2022.pdf","2TA","R-374-2022","2022","Sentencia",".pdf","974.0"
"2024.04.22_Sentencia_R-396-2023.pdf","2TA","R-396-2023","2023","Sentencia",".pdf","601.2"
"2024.04.22_Sentencia_R-404-2023.pdf","2TA","R-404-2023","2023","Sentencia",".pdf","5278.5"
"2024.04.15_Sentencia_R-409-2023.pdf","2TA","R-409-2023","2023","Sentencia",".pdf","928.5"
"2024.04.11_Sentencia_R-403-2023-1.pdf","2TA","R-403-2023","2023","Sentencia",".pdf","1319.7"
"2024.04.08_Sentencia_R-385-2023.pdf","2TA","R-385-2023","2023","Sentencia",".pdf","3496.5"
"2024.03.19_Sentencia_R-264-2020.pdf","2TA","R-264-2020","2020","Sentencia",".pdf","1095.6"
"2024.03.11_Sentencia_R-331-2022.pdf","2TA","R-331-2022","2022","Sentencia",".pdf","1876.7"
"Sentencia_R-392-2023.pdf","2TA","R-392-2023","2023","Sentencia",".pdf","1592.9"
"2024.02.26_Sentencia_R-271_270-2020.pdf","2TA","R-270-2020","2020","Sentencia",".pdf","1784.4"
"Sentencia_R_352-2022.pdf","2TA","R-352-2022","2022","Sentencia",".pdf","1423.7"
"2024.02.09_Sentencia_R-343-2022.pdf","2TA","R-343-2022","2022","Sentencia",".pdf","1036.7"
"2024.01.26_Sentencia_Rol-348-2022.pdf","2TA","R-348-2022","2022","Sentencia",".pdf","1416.7"
"2023.12.20_Sentencia_R-370-2022.pdf","2TA","R-370-2022","2022","Sentencia",".pdf","894.6"
"2023.12.07_Sentencia_R-360-2022.pdf","2TA","R-360-2022","2022","Sentencia",".pdf","2230.4"
"R-308-2021.pdf","2TA","R-308-2021","2021","Otro",".pdf","104.3"
"2023.11.20_Sentencia_R-350-2022.pdf","2TA","R-350-2022","2022","Sentencia",".pdf","614.1"
"2023.11.02_Sentencia_R-353-2022.pdf","2TA","R-353-2022","2022","Sentencia",".pdf","875.1"
"2023.10.25_Sentencia_R-378-2022.pdf","2TA","R-378-2022","2022","Sentencia",".pdf","671.5"
"2023.10.19_Sentencia_R-395-2023.pdf","2TA","R-395-2023","2023","Sentencia",".pdf","481.2"
"2023.10.12_Sentencia_R-323-2022.pdf","2TA","R-323-2022","2022","Sentencia",".pdf","1202.2"
"2023.10.11_Sentencia_R-376-2022.pdf","2TA","R-376-2022","2022","Sentencia",".pdf","1032.6"
"2023.09.13_Sentencia_R-373-2022.pdf","2TA","R-373-2022","2022","Sentencia",".pdf","1240.9"
"2023.09.06_Sentencia_R-349-2022.pdf","2TA","R-349-2022","2022","Sentencia",".pdf","4019.2"
"2023.08.23_Sentencia_R-388-2023.pdf","2TA","R-388-2023","2023","Sentencia",".pdf","980.8"
"2023.08.22_Sentencia_R-363-2023.pdf","2TA","R-363-2023","2023","Sentencia",".pdf","801.3"
"2023.08.17_Sentencia_R-355-2022.pdf","2TA","R-355-2022","2022","Sentencia",".pdf","1317.7"
"2023.08.10_Sentencia_R-292-2021.pdf","2TA","R-292-2021","2021","Sentencia",".pdf","1183.6"
"2023.08.08_Sentencia_R-281-2021.pdf","2TA","R-281-2021","2021","Sentencia",".pdf","1572.5"
"R-356-2022_26-07-2023_Sentencia.pdf","2TA","R-356-2022","2022","Sentencia",".pdf","2005.3"
"R-279-2021_26-07-2023_Sentencia.pdf","2TA","R-279-2021","2021","Sentencia",".pdf","810.9"
"R-362-2022_19-07-2023_Sentencia.pdf","2TA","R-362-2022","2022","Sentencia",".pdf","1419.7"
"R-354-2022_19-07-2023_Sentencia.pdf","2TA","R-354-2022","2022","Sentencia",".pdf","823.3"
"R-334-2022_18-07-2023_Sentencia.pdf","2TA","R-334-2022","2022","Sentencia",".pdf","3436.1"
"2023.07.10_Sentencia_R-384-2022.pdf","2TA","R-384-2022","2022","Sentencia",".pdf","440.2"
"2023.06.30_Sentencia_R-282-2021_acumulada_R-303-2021.pdf","2TA","R-282-2021","2021","Sentencia",".pdf","3841.1"
"2023.05.11_Sentencia_R-342-2022.pdf","2TA","R-342-2022","2022","Sentencia",".pdf","960.6"
"2023.04.25_Sentencia_R-280-2021.pdf","2TA","R-280-2021","2021","Sentencia",".pdf","1070.6"
"2023.04.19_Sentencia_R-313-2021.pdf","2TA","R-313-2021","2021","Sentencia",".pdf","886.3"
"Sentencia_R-322-2022.pdf","2TA","R-322-2022","2022","Sentencia",".pdf","2334.2"
"R-340-2022_16-03-2023_Sentencia.pdf","2TA","R-340-2022","2022","Sentencia",".pdf","1064.2"
"Sentencia_R-324-2022-1.pdf","2TA","R-324-2022","2022","Sentencia",".pdf","2242.2"
"2022.02.24_Sentencia_R-344-2022-1.pdf","2TA","R-344-2022","2022","Sentencia",".pdf","926.6"
"Sentencia_R_N_240-2020.-1.pdf","2TA","R-240-2020","2020","Sentencia",".pdf","2420.8"
"2023.01.30_Sentencia_R-301-2021_acumulada_R-309-202133131.pdf","2TA","R-301-2021","2021","Sentencia",".pdf","4782.5"
"2023.01.30_Sentencia_R_316-2021_acumulada_R_317-2021.pdf","2TA","R-316-2021","2021","Sentencia",".pdf","1719.5"
"2023.01.30_Sentencia_R-289-290_.pdf","2TA","","","Sentencia",".pdf","3542.6"
"Sentencia_Rol_N_314-2021_002.pdf","2TA","R-314-2021","2021","Sentencia",".pdf","1009.3"
"R-277-2021_30-12-2022_Sentencia-4.pdf","2TA","R-277-2021","2021","Sentencia",".pdf","2197.1"
"2022.12.30_Sentencia_R-265-2020-1.pdf","2TA","R-265-2020","2020","Sentencia",".pdf","1895.0"
"2022.12.19_Sentencia_R-319-2022-1.pdf","2TA","R-319-2022","2022","Sentencia",".pdf","737.5"
"R-266-2020_19-12-2022_Sentencia_foliada.pdf","2TA","R-266-2020","2020","Sentencia",".pdf","1226.8"
"R-305-2021_16-12-2022_Sentencia_foliada-2.pdf","2TA","R-305-2021","2021","Sentencia",".pdf","1529.2"
"2022.12.02_Sentencia_R-341-2022.pdf","2TA","R-341-2022","2022","Sentencia",".pdf","1080.2"
"2022.11.30_Sentencia_R-283-2021.pdf","2TA","R-283-2021","2021","Sentencia",".pdf","518.1"
"2022.11.24_Sentencia_R-315-2021.pdf","2TA","R-315-2021","2021","Sentencia",".pdf","853.6"
"R-315-2022-CS.pdf","2TA","R-315-2022","2022","Otro",".pdf","123.0"
"2022.11.21_Sentencia_R-339-2022-2.pdf","2TA","R-339-2022","2022","Sentencia",".pdf","607.2"
"2022.11.09_Sentencia_R_295-2021.pdf","2TA","R-295-2021","2021","Sentencia",".pdf","900.7"
"2022.11.02_Sentencia_R-307-2021.pdf","2TA","R-307-2021","2021","Sentencia",".pdf","875.3"
"2022.10.26_Sentencia_R-304-2021acum.R325-2022.pdf","2TA","R-304-2021","2021","Sentencia",".pdf","774.1"
"2022.10.24_Sentencia_R-297-298-299.pdf","2TA","","","Sentencia",".pdf","1775.1"
"2022.10.05_Sentencia_R-310_311-2021.pdf","2TA","R-311-2021","2021","Sentencia",".pdf","1284.9"
"R-310-2022_CS.pdf","2TA","R-310-2022","2022","Otro",".pdf","127.1"
"R-318-2021_26-09-2022_Sentencia.pdf","2TA","R-318-2021","2021","Sentencia",".pdf","759.2"
"R-267-2020_12-09-2022_Sentencia.pdf","2TA","R-267-2020","2020","Sentencia",".pdf","2297.3"
"2022.09.06_Sentencia_R-326-2022.pdf","2TA","R-326-2022","2022","Sentencia",".pdf","583.4"
"2022.08.24_Sentencia_R-261-2020.pdf","2TA","R-261-2020","2020","Sentencia",".pdf","1269.0"
"2022.07.25_Sentencia_R-293-2021_.pdf","2TA","R-293-2021","2021","Sentencia",".pdf","537.9"
"2022.07.22_Sentencia_R-285-2021.pdf","2TA","R-285-2021","2021","Sentencia",".pdf","337.7"
"2022.07.20_Sentencia_R-263-2020.pdf","2TA","R-263-2020","2020","Sentencia",".pdf","2514.5"
"2022.07.12_Sentencia_R-273-2021.pdf","2TA","R-273-2021","2021","Sentencia",".pdf","1862.5"
"2022.07.06_Sentencia_R-215-2019.pdf","2TA","R-215-2019","2019","Sentencia",".pdf","4245.6"
"2022.06.28_Sentencia_R-232_y_276.pdf","2TA","","","Sentencia",".pdf","1341.4"
"R-244-2020_25-05-2022_Sentencia.pdf","2TA","R-244-2020","2020","Sentencia",".pdf","30377.6"
"R-230-2020_10-03-2022_Sentencia.pdf","2TA","R-230-2020","2020","Sentencia",".pdf","3235.4"
"R-269-2020_28-02-2022_Sentencia_foliada.pdf","2TA","R-269-2020","2020","Sentencia",".pdf","3528.6"
"R-278-2021_24-02-2022_Sentencia.pdf","2TA","R-278-2021","2021","Sentencia",".pdf","4892.9"
"Sentencia_R_231-2020-25.11.2021.pdf","2TA","R-231-2020","2020","Sentencia",".pdf","2313.0"
"1085-2022-Casacion.pdf","2TA","R-1085-2022","2022","Otro",".pdf","300.5"
"1085-2022-Sentencia-de-reemplazo.pdf","2TA","R-1085-2022","2022","Sentencia Reemplazo",".pdf","149.7"
"R-252-2020_19-11-2021_Sentencia.pdf","2TA","R-252-2020","2020","Sentencia",".pdf","7946.9"
"R-183-2018_03-11-2021_Sentencia.pdf","2TA","R-183-2018","2018","Sentencia",".pdf","27034.9"
"Sentencia_CS_96002-2021_2TA_R-183-2018.pdf","2TA","R-183-2018","2018","Sentencia",".pdf","141.6"
"R-243-2020_14-10-2021_Sentencia.pdf","2TA","R-243-2020","2020","Sentencia",".pdf","1166.0"
"R-236-2020_01-10-2021_Sentencia.pdf","2TA","R-236-2020","2020","Sentencia",".pdf","1528.6"
"R-262-2020_12-08-2021_Sentencia.pdf","2TA","R-262-2020","2020","Sentencia",".pdf","1554.5"
"Sentencia_CS_82391-2021_2TA_R-262-2020.pdf","2TA","R-262-2020","2020","Sentencia",".pdf","120.2"
"R-251-2020_09-08-2021_Sentencia.pdf","2TA","R-251-2020","2020","Sentencia",".pdf","4930.8"
"Sentencia_R-221-2019.pdf","2TA","R-221-2019","2019","Sentencia",".pdf","20671.5"
"R-239-2020_14-07-2021_Sentencia.pdf","2TA","R-239-2020","2020","Sentencia",".pdf","20920.0"
"Sentencia-CS-Inmobiliaria-Laderas-Ladomar-S.A.-con-SMA.pdf","2TA","","","Sentencia",".pdf","142.2"
"R-253-2020_13-07-2021_Sentencia.pdf","2TA","R-253-2020","2020","Sentencia",".pdf","2765.9"
"R-234-2020_22-06-2021_Sentencia.pdf","2TA","R-234-2020","2020","Sentencia",".pdf","15973.1"
"R-233-2020_18-06-2021_Sentencia.pdf","2TA","R-233-2020","2020","Sentencia",".pdf","9406.7"
"R-224-2019_17-06-2021_Sentencia.pdf","2TA","R-224-2019","2019","Sentencia",".pdf","10408.5"
"R-238-2020_16-06-2021_Sentencia.pdf","2TA","R-238-2020","2020","Sentencia",".pdf","14158.0"
"Sentencia_CS_58263-2021_2TA_R-238-2020.pdf","2TA","R-238-2020","2020","Sentencia",".pdf","202.4"
"Sentencia_R_237-2020-13.05.2021.pdf","2TA","R-237-2020","2020","Sentencia",".pdf","17549.4"
"Sentencia_R_208-2019-14.04.2021.pdf","2TA","R-208-2019","2019","Sentencia",".pdf","19872.3"
"Sentencia_R_226-2020-09.04.2021.pdf","2TA","R-226-2020","2020","Sentencia",".pdf","13009.9"
"SCS-rol-34697-2021.-Tapia-Azocar-con-SMA.-Acoge-casacion.pdf","2TA","R-34697-2021","2021","Otro",".pdf","148.0"
"SCS-rol-34697-2021.-Tapia-Azocar-con-SMA.-Sentencia-de-Reemplazo.pdf","2TA","R-34697-2021","2021","Sentencia Reemplazo",".pdf","137.2"
"Sentencia_R_219-2019-05-04-2021.pdf","2TA","R-219-2019","2019","Sentencia",".pdf","22058.5"
"R-220-2019_30-03-2021_Sentencia.pdf","2TA","R-220-2019","2019","Sentencia",".pdf","9173.5"
"R-207-2919_Rol-Corte-Suprema_18.996-2021.pdf","2TA","","","Otro",".pdf","178.4"
"Rol-N_-22.343-2021-casacion.pdf","2TA","R-343-2021","2021","Otro",".pdf","173.4"
"Rol-N_-22.343-2021-reemplazo.pdf","2TA","R-343-2021","2021","Otro",".pdf","103.8"
"Sentencia_Corte-Suprema_6960-2021-R-200-2018-STA.pdf","2TA","R-200-2018","2018","Sentencia",".pdf","188.7"
"5.374-2021-casacion.pdf","2TA","R-374-2021","2021","Otro",".pdf","226.5"
"5.374-2021-reemplazo.pdf","2TA","R-374-2021","2021","Otro",".pdf","140.0"
"Candelaria-Casacion.pdf","2TA","","","Otro",".pdf","285.8"
"Candelaria-Reemplazo.pdf","2TA","","","Otro",".pdf","194.5"
"SCS.-154847-2020.-Maturana-con-SEA.-R-178-2018.pdf","2TA","R-178-2018","2018","Otro",".pdf","158.0"
"Sentencia_R-210-2019_-_14.10.2020.pdf","2TA","R-210-2019","2019","Sentencia",".pdf","912.6"
"R-210-2019_CS-14971-2020-sentencia.pdf","2TA","R-210-2019","2019","Sentencia",".pdf","275.5"
"R-210-2019_CS-149171-2020-reemplazo.pdf","2TA","R-210-2019","2019","Otro",".pdf","243.6"
"Sentencia_Corte-Suprema_Rol-131181-2020_2TA_R-195-2018.pdf","2TA","R-195-2018","2018","Sentencia",".pdf","185.8"
"Sentencia_Corte-Suprema_117379-2020_2TA-R-199-2018.pdf","2TA","R-199-2018","2018","Sentencia",".pdf","198.2"
"Sentencia_Corte-Suprema_Rol-104693-2020_2TA_R-181-2018.pdf","2TA","R-181-2018","2018","Sentencia",".pdf","240.5"
"Sentencia_Corte-Suprema_99487-2020_2TA-R-206-2019.pdf","2TA","R-206-2019","2019","Sentencia",".pdf","479.4"
"Sentencia_Corte-Suprema_79353-2020_2TA-R-196-2019.pdf","2TA","R-196-2019","2019","Sentencia",".pdf","212.2"
"Sentencia_Corte-Suprema_63341-2020_2TA-174-2018.pdf","2TA","R-63341-2020","2020","Sentencia",".pdf","419.0"
"Ecomaule-casacion.pdf","2TA","","","Otro",".pdf","241.3"
"Ecomaule-reemplazo.pdf","2TA","","","Otro",".pdf","264.7"
"Sentencia_Corte-Suprema_Rol-44801-2020_2TA_R-171-2018.pdf","2TA","R-171-2018","2018","Sentencia",".pdf","220.1"
"SCS-43.698-2020-casacion-R-175-2018-STA.pdf","2TA","R-175-2018","2018","Otro",".pdf","217.0"
"SCS-43.698-2020-s.reemplazo-R-175-2018-STA.pdf","2TA","R-175-2018","2018","Otro",".pdf","195.5"
"CS_20994-2020_2TA_R-190-2018_Sentencia.pdf","2TA","R-190-2018","2018","Sentencia",".pdf","194.5"
"R-197-2018_27-11-2019_Sentencia.pdf","2TA","R-197-2018","2018","Sentencia",".pdf","1796.0"
"R-189-2018-13-09-2019-Sentencia.pdf","2TA","R-189-2018","2018","Sentencia",".pdf","857.7"
"CS_29062-2019_2TA_R-179-2018_Sentencia.pdf","2TA","R-179-2018","2018","Sentencia",".pdf","182.4"
"Sentencia_Corte-Suprema_29065-2019_2TA-164-2017.pdf","2TA","R-29065-2019","2019","Sentencia",".pdf","270.9"
"Sentencia_reemplazo-Corte-Suprema_29065-2019_2TA-164-2017.pdf","2TA","R-29065-2019","2019","Sentencia Reemplazo",".pdf","160.1"
"CS_27003-2019_2TA_R-193-2018_Sentencia.pdf","2TA","R-193-2018","2018","Sentencia",".pdf","125.0"
"R-191-2018-26-07-2019-Sentencia-pdf.pdf","2TA","R-191-2018","2018","Sentencia",".pdf","5894.7"
"Sentencia-Casacion-CS-25056_2TA_R-191-2018.pdf","2TA","R-191-2018","2018","Sentencia Casación",".pdf","141.9"
"R-177-2018-22-07-2019-Sentencia.pdf","2TA","R-177-2018","2018","Sentencia",".pdf","8075.0"
"R-169-2017-14-06-2019-Sentencia.pdf","2TA","R-169-2017","2017","Sentencia",".pdf","4227.3"
"Sentencia-Casacion-CS-21265_2TA_R-169-2017.pdf","2TA","R-169-2017","2017","Sentencia Casación",".pdf","108.1"
"R-166-2017-04-06-2019-Sentencia.pdf","2TA","R-166-2017","2017","Sentencia",".pdf","3421.8"
"CS_23289-2019_2TA_R-166-2017_Sentencia.pdf","2TA","R-166-2017","2017","Sentencia",".pdf","146.1"
"R-198-2018-15-03-2019-Sentencia_web.pdf","2TA","R-198-2018","2018","Sentencia",".pdf","6212.4"
"CS_10300-2019_2TA-R-198-2018.pdf","2TA","R-198-2018","2018","Otro",".pdf","182.0"
"R-125-2016-11-02-2019-Sentencia.pdf","2TA","R-125-2016","2016","Sentencia",".pdf","6538.9"
"CS-7785-2019_2TA_R-125-2016_Sentencia.pdf","2TA","R-125-2016","2016","Sentencia",".pdf","163.4"
"R-141-2017-08-02-2019-Sentencia.pdf","2TA","R-141-2017","2017","Sentencia",".pdf","1860.8"
"Sentencia_Corte-Suprema_8573-2019_2TA-141-2017.pdf","2TA","R-8573-2019","2019","Sentencia",".pdf","307.2"
"Sentencia_reemplazo-Corte-Suprema_8573-2019_2TA-141-2017.pdf","2TA","R-8573-2019","2019","Sentencia Reemplazo",".pdf","149.6"
"R-173-2018-31-01-2019-Sentencia.pdf","2TA","R-173-2018","2018","Sentencia",".pdf","659.0"
"Sentencia-Casacion-CS-7073_2TA_R-173-2018.pdf","2TA","R-173-2018","2018","Sentencia Casación",".pdf","135.8"
"R-147-2017-30-01-2019-Sentencia.pdf","2TA","R-147-2017","2017","Sentencia",".pdf","2496.4"
"Sentencia-Casacion-CS7610_2TA_R-147-2017.pdf","2TA","R-147-2017","2017","Sentencia Casación",".pdf","231.4"
"R-143-2017-10-12-2018-Sentencia-web_pc_7mb.pdf","2TA","R-143-2017","2017","Sentencia",".pdf","6835.4"
"R-146-2017-25-09-2018-Sentencia.pdf","2TA","R-146-2017","2017","Sentencia",".pdf","4288.9"
"Sentencia-Casación-28207_2018.pdf","2TA","","","Sentencia Casación",".pdf","156.3"
"R-153-2017-14-09-2018-Sentencia.pdf","2TA","R-153-2017","2017","Sentencia",".pdf","25851.3"
"R-160-2017-21-08-2018-Sentencia.pdf","2TA","R-160-2017","2017","Sentencia",".pdf","18432.2"
"Sentencia_casación-CS-24870_2TA-R-160-2017.pdf","2TA","R-160-2017","2017","Sentencia Casación",".pdf","315.9"
"R-157-2017-17-08-2018-Sentencia.pdf","2TA","R-157-2017","2017","Sentencia",".pdf","19567.4"
"CS_28195-2018_2TA_R-157-2017_Sentencia.pdf","2TA","R-157-2017","2017","Sentencia",".pdf","337.0"
"R-139-2017-31-07-2018-Sentencia.pdf","2TA","R-139-2017","2017","Sentencia",".pdf","5583.2"
"CS_23085-2018_2TA_R-139-2016_Sentencia.pdf","2TA","R-139-2016","2016","Sentencia",".pdf","145.7"
"R-163-2017-29-06-2018-Sentencia.pdf","2TA","R-163-2017","2017","Sentencia",".pdf","1684.2"
"R-140-2016-05-06-2018-Sentencia.pdf","2TA","R-140-2016","2016","Sentencia",".pdf","3916.1"
"CS-Candelaria.pdf","2TA","","","Otro",".pdf","187.0"
"R-149-2017-01-06-2018-Sentencia.pdf","2TA","R-149-2017","2017","Sentencia",".pdf","1243.2"
"Sentencia_Casacion_16561-2018-Maitencillo-Sur.pdf","2TA","R-16561-2018","2018","Sentencia Casación",".pdf","239.8"
"R-124-2016-15-05-2018-Sentencia.pdf","2TA","R-124-2016","2016","Sentencia",".pdf","195.3"
"R-155-2017-27-04-2018-Sentencia.pdf","2TA","R-155-2017","2017","Sentencia",".pdf","1417.4"
"CS_12928-2018_2TA_R-155-2017_Sentencia.pdf","2TA","R-155-2017","2017","Sentencia",".pdf","205.5"
"CS_12928-2018_2TA_R-155-2017_Sreemplazo.pdf","2TA","R-155-2017","2017","Otro",".pdf","135.1"
"R-148-2017-26-04-2018-Sentencia.pdf","2TA","R-148-2017","2017","Sentencia",".pdf","5031.8"
"Sentencia_12802-2018_TA-R-148-2017-EnconSolar.pdf","2TA","R-148-2017","2017","Sentencia",".pdf","184.3"
"R-99-2016-25-04-2018-Sentencia.pdf","2TA","R-99-2016","2016","Sentencia",".pdf","4703.9"
"R-99-2018-12803-2018.pdf","2TA","R-99-2018","2018","Otro",".pdf","158.8"
